puNumber,box_office
111000113,2450.0
111000115,61040.0
111000116,153030013.4
111000117,12260956.0
111000118,163684057.79
111000119,4293649.51
111000212,200.0
111000216,355567.0
111000313,710.0
111000314,1607970.0
111000315,36550.0
111000318,56357980.56
111000319,194845829.65
111000411,11740.0
111000412,1920.0
111000413,7104.0
111000415,446163511.0
111000416,81430626.82
111000417,123970133.0
111000419,53449711.94
111000512,6000.0
111000513,779027.6
111000515,72578317.4
111000516,58500.0
111000518,1445731797.89
111000519,439776371.25
111000610,760.0
111000611,1790.0
111000612,6775.0
111000613,4827.0
111000614,20400.0
111000615,366998.0
111000617,1802175.0
111000619,11700861.81
111000711,42691.0
111000714,16255.0
111000715,451812221.7
111000716,87810.0
111000717,262040254.0
111000718,114925585.76
111000810,14990.0
111000812,480.0
111000816,24007803.98
111000818,4743315.0
111000910,32175.0
111000912,13350.0
111000915,197464.5
111000916,363622804.9
111000917,355422.0
111000918,389818769.03
111001012,10310.0
111001013,860.0
111001014,4295.0
111001015,56505055.6
111001017,28345493.0
111001018,46260.0
111001110,4530.0
111001114,17790.0
111001115,310738.0
111001116,159879167.4
111001118,80289852.9
111001211,8485.0
111001212,30715.0
111001215,11663188.0
111001216,194527.0
111001218,22154071.04
111001310,3980.0
111001311,200.0
111001313,31805.0
111001315,22723575.0
111001317,544332260.0
111001318,450175414.13
111001319,36356076.06
111001414,6465.0
111001415,401804461.9
111001416,60161.0
111001418,4052397.76
111001510,120.0
111001511,490.0
111001512,22175.0
111001515,1400800.0
111001517,334007366.0
111001519,524897298.17
111001610,0.0
111001612,12779.0
111001613,3545.0
111001617,410058.0
111001618,633462266.74
111001710,1657.0
111001712,2200.0
111001714,3601982.0
111001717,8667192.0
111001810,1020.0
111001811,3970.0
111001812,3490.0
111001815,352804320.4
111001818,46319097.4
111001911,5620.0
111001912,14438.0
111001913,10534.0
111001917,274246.0
111001918,100476.0
111001919,136900.0
111002011,2325.0
111002015,0.0
111002017,342898736.0
111002018,44401434.6
111002019,2446886.0
111002113,7525.0
111002114,10345.0
111002211,3643.0
111002212,10470.0
111002215,51907.5
111002216,240.0
111002319,17358253.31
111002412,11400.0
111002413,3300.0
111002414,0.0
111002415,126148703.6
111002417,495068.0
111002418,1812034.0
111002419,138162876.53
111002511,360.0
111002512,1070.0
111002513,4110.0
111002514,4900.0
111002517,5729521.0
111002613,11680.0
111002614,13200.0
111002615,3192.0
111002618,95755094.88
111002713,16610.0
111002714,950.0
111002715,33005527.3
111002717,476180.0
111002719,303620.0
111002813,22480.0
111002818,1699377.0
111002911,1260.0
111002914,7225.0
111002915,249166767.7
111002918,4462845.5
111003010,115.0
111003011,50200.0
111003012,0.0
111003018,5102191.0
111003112,200.0
111003115,24605374.1
111003116,1900.0
111003215,40050.0
111003218,820528005.21
111003219,34992.0
111003314,28140.0
111003318,6133468.51
111003414,136340.0
111003415,334750.0
111003418,5539973.15
111003419,421571.5
111003512,87795.0
111003514,80175.0
111003515,19820.0
111003517,95385289.0
111003613,10745.0
111003615,854334.5
111003616,360.0
111003618,16703796.99
111003619,86371124.57
111003713,1000.0
111003715,76720211.4
111003716,420.0
111003719,155938.0
111003810,660.0
111003811,1630.0
111003813,42975.0
111003815,132984969.1
111003816,3200.0
111003819,1263461.52
111003914,12915.0
111004014,380.0
111004015,1600.0
111004017,18746156.0
111004018,3363230.23
111004019,5799073.05
111004113,5955.0
111004115,61193.0
111004117,10739479.0
111004119,307650644.24
111004210,520.0
111004212,600.0
111004213,19957031.5
111004215,12748398.3
111004310,1916.0
111004313,2100.0
111004314,55917.5
111004315,241620.0
111004316,59635.0
111004317,50451949.0
111004318,299260193.31
111004319,16334733.0
111004411,465.0
111004414,232100.0
111004415,977480.0
111004416,130053.0
111004417,1067649.0
111004510,2620.0
111004513,24510.0
111004514,18115.0
111004515,2220979.5
111004516,100511807.8
111004519,214871745.61
111004611,14900.0
111004614,76360.0
111004615,359980.0
111004616,11740.0
111004617,407968.0
111004710,980.0
111004711,1030.0
111004712,85153.0
111004714,4050.0
111004715,162249.0
111004716,270538437.9
111004717,3648777.5
111004718,204158417.05
111004811,6265.0
111004812,4960.0
111004813,650.0
111004814,239405.0
111004815,4170660.0
111004816,435132.0
111004817,2094094.96
111004818,21522348.2
111004912,12240.0
111004913,20225.0
111004915,4972557.9
111004916,15362931.43
111004918,2959639.23
111004919,788647.0
111005013,10575.0
111005016,52556389.32
111005017,5503875.0
111005113,3075.0
111005114,346964.0
111005115,172221.0
111005116,1820081.0
111005117,802765.0
111005119,6152598.0
111005212,11955.0
111005214,642571.0
111005219,1156776.0
111005310,1230.0
111005311,1290.0
111005313,365353.6
111005316,4020.0
111005318,899420.0
111005319,4398.4
111005411,1365.0
111005412,27995.0
111005413,4720.0
111005416,1402255390.0
111005513,39680.0
111005515,300.0
111005516,30200.0
111005518,313755.0
111005612,3475.0
111005613,1300.0
111005616,152470.0
111005711,7300.0
111005713,33500.0
111005714,108910.0
111005716,32900.0
111005717,511775548.0
111005718,1530665.48
111005812,650.0
111005814,223251.0
111005815,84720.0
111005816,456626.5
111005817,335865039.0
111005910,0.0
111005911,1996.0
111005912,6220.0
111005913,3370.0
111005914,690.0
111005915,67500.0
111005916,1301350.5
111005918,1662223.0
111005919,120308430.15
111006011,250.0
111006013,40.0
111006016,9100.0
111006017,3677875.0
111006018,1283251.5
111006110,1710.0
111006113,100.0
111006116,166576637.9
111006117,77837.0
111006118,41003313.49
111006214,3066962.0
111006216,20250.0
111006217,113925353.0
111006311,225.0
111006313,2060.0
111006316,481011.0
111006318,90512398.81
111006319,46350172.49
111006410,3660.0
111006418,2440533.7
111006419,3217854.0
111006510,4690.0
111006511,1800.0
111006513,550.0
111006518,22730244.88
111006519,12175713.0
111006610,24978.0
111006612,2820.0
111006613,35945.0
111006618,1280235.5
111006619,44729932.68
111006710,3595.0
111006711,4635.0
111006712,0.0
111006714,9155.0
111006717,137326373.0
111006719,408646665.7
111006815,1660.0
111006817,105949130.0
111006819,9197107.51
111006911,300.0
111006912,140250.0
111006914,113935.0
111006916,15206808.84
111006917,752679777.0
111007011,360.0
111007012,33290.0
111007013,2700.0
111007014,149063.0
111007016,56800.0
111007017,1655037688.0
111007019,55876887.4
111007111,6711.0
111007112,23230.0
111007113,2400.0
111007114,0.0
111007115,830.0
111007117,1231902.0
111007118,51280.0
111007119,7228655.57
111007211,500.0
111007213,1165.0
111007217,7189790.0
111007218,3803518.68
111007219,6903398.5
111007310,5355.0
111007316,2348425.0
111007319,636264.0
111007413,380.0
111007416,60132.0
111007417,388919.0
111007419,2258384.0
111007515,5000.0
111007516,31045194.04
111007517,96235483.23
111007518,2188742.0
111007610,1590.0
111007613,0.0
111007616,530489.0
111007617,590405065.0
111007618,100874704.69
111007619,75850.0
111007710,225.0
111007713,1020.0
111007714,6277796.2
111007716,35897.0
111007717,168512.0
111007718,711362.5
111007810,10685.0
111007813,3550.0
111007814,1000.0
111007817,270497.0
111007818,16507560.58
111007819,12316723.64
111007910,3878.0
111007914,34250.0
111007919,10933431.92
111008011,7185.0
111008014,239976.0
111008016,55800.0
111008018,35239299.31
111008019,636446.5
111008110,250.0
111008210,2855.0
111008213,1149.0
111008215,181747.0
111008216,70299052.0
111008218,113743748.3
111008311,5141.0
111008313,3270.0
111008315,1109238.0
111008316,46877952.08
111008319,5751740.5
111008413,880.0
111008414,235625.0
111008415,250508.0
111008416,15045819.56
111008419,27525124.4
111008513,1100.0
111008514,360.0
111008516,1760990.0
111008519,476537.0
111008611,2820.0
111008613,3580.0
111008614,554251.0
111008615,144040.0
111008618,21293657.44
111008710,900.0
111008715,6457303.02
111008716,658870.0
111008719,1279863.0
111008811,2870.0
111008814,16210.0
111008815,4568857.3
111008816,43922035.7
111008819,1535332.5
111008914,38044.0
111008916,335075.0
111009011,5000.0
111009014,44705.0
111009016,122586.5
111009111,5695.0
111009113,6380.0
111009118,288019.5
111009119,97637352.29
111009210,15500.0
111009213,14900.0
111009214,1000.0
111009215,19654526.3
111009216,3300.0
111009310,100.0
111009311,73416.0
111009313,750.0
111009314,109375.0
111009316,4954508.0
111009410,4729.0
111009411,5405.0
111009414,136030.0
111009415,1184344.0
111009416,278000.0
111009419,83991589.62
111009511,10898.0
111009515,1250374.0
111009516,16814329.46
111009519,103098290.54
111009611,30160.0
111009613,6065.0
111009614,0.0
111009615,67418974.8
111009616,368738.0
111009619,16763623.31
111009713,115850.0
111009714,88120041.1
111009715,2325871.1
111009716,2000.0
111009810,680.0
111009813,37985.0
111009815,0.0
111009816,71955528.89
111009818,61720825.82
111009819,7093374.3
111009913,600.0
111009914,12910.0
111009915,15020703.5
111009916,1975132.0
111010010,300.0
111010011,4578.0
111010013,73180.0
111010014,900.0
111010015,12027431.0
111010110,13075.0
111010111,2200.0
111010113,110779.0
111010115,654450.0
111010210,300.0
111010214,335041.0
111010215,1957738.51
111010219,716681.5
111010314,252820.5
111010315,190953419.4
111010319,1626889.0
111010414,2260.0
111010415,18780020.9
111010511,6580.0
111010513,1795.0
111010515,739938.0
111010615,9468913.5
111010616,618263.0
111010619,1957979.5
111010710,125.0
111010715,1307120.01
111010716,1250996.0
111010810,8795.0
111010816,587178.0
111010817,126713450.16
111010913,1850.0
111010916,9000.0
111011013,0.0
111011015,4450.0
111011017,75927739.98
111011115,9200824.5
111011117,253575226.83
111011210,300.0
111011215,51862014.2
111011216,483403.0
111011217,49587309.0
111011310,180.0
111011315,6000.0
111011316,322155.0
111011318,289040.0
111011416,1030756.5
111011514,11960.0
111011515,1572434.5
111011516,275852.0
111011517,2671050.0
111011518,2453299.34
111011614,200.0
111011615,350517.0
111011616,87710161.53
111011617,855451052.0
111011618,988413.0
111011716,607588.0
111011717,8425367.6
111011719,596072.0
111011810,1820.0
111011815,10355541.11
111011816,58720.0
111011817,2779686144.0
111011914,165.0
111011916,18700.0
111011919,264971.0
111012014,520.0
111012015,371118.0
111012016,95650.0
111012017,30156174.04
111012018,107979.0
111012116,29822146.51
111012117,225196400.03
111012118,78718.5
111012213,420.0
111012216,37266709.89
111012218,23720901.47
111012219,2923602.5
111012316,14177647.0
111012317,87707397.08
111012318,187760.0
111012319,27853374.23
111012413,200.0
111012416,30393100.72
111012514,1525.0
111012516,11066749.18
111012518,477775.0
